experiment_id,scenario_id,mode,partition_point,load_model_name,load_rps_target,duration_s,mode_command_sent_ts,mode_confirmed_ts,load_command_sent_ts,load_confirmed_ts,load_stop_ts,analysis_start_ts,analysis_end_ts,status
exp_001,66,split,layer4.0,resnet18_tail_after_layer4_0,90.0,25.0,1776173240.4436362,1776173240.5851448,1776173243.7594633,1776173243.6386201,1776173271.911625,1776173246.8484259,1776173271.8484259,completed
exp_001,67,split,layer4.0,resnet18_tail_after_layer4_0,100.0,25.0,1776173282.0342343,1776173282.121961,1776173285.2099745,1776173285.6773767,1776173313.5087562,1776173288.3820589,1776173313.3820589,completed
exp_001,68,split,layer4.0,resnet18_tail_after_layer4_0,120.0,25.0,1776173323.5907705,1776173323.8136823,1776173326.923867,1776173327.7157116,1776173355.0466843,1776173329.9461591,1776173354.9461591,completed
exp_001,69,split,layer4.0,resnet18_tail_after_layer4_0,130.0,25.0,1776173365.1271975,1776173365.2141855,1776173368.3354464,1776173368.7559414,1776173396.540687,1776173371.3978107,1776173396.3978107,completed
exp_001,70,split,layer4.0,resnet18_tail_after_layer4_0,140.0,25.0,1776173406.6909146,1776173406.8888426,1776173409.9786339,1776173410.7932212,1776173438.2337244,1776173413.0976143,1776173438.0976143,completed
exp_001,71,split,layer4.0,resnet18_tail_after_layer4_0,150.0,25.0,1776173448.3642118,1776173448.4681208,1776173451.6291363,1776173451.8340302,1776173479.8078961,1776173454.689555,1776173479.689555,completed
exp_001,72,split,layer4.0,resnet18_tail_after_layer4_0,160.0,25.0,1776173489.8999362,1776173490.0395088,1776173493.201358,1776173493.8756583,1776173521.385993,1776173496.255252,1776173521.255252,completed
exp_001,73,split,layer4.1,resnet18_tail_after_layer4_1,0.0,25.0,1776173531.478674,1776173532.6982167,,,1776173562.9939904,1776173537.9939904,1776173562.9939904,completed
exp_001,74,split,layer4.1,resnet18_tail_after_layer4_1,90.0,25.0,1776173563.0021133,1776173563.1349704,1776173566.334804,1776173566.9467783,1776173594.5395098,1776173569.4059646,1776173594.4059646,completed
exp_001,75,split,layer4.1,resnet18_tail_after_layer4_1,100.0,25.0,1776173604.5483801,1776173604.7243998,1776173607.7805352,1776173607.9863038,1776173635.85871,1776173610.796707,1776173635.796707,completed
exp_001,76,split,layer4.1,resnet18_tail_after_layer4_1,120.0,25.0,1776173645.939612,1776173646.1073363,1776173649.2043285,1776173650.0287821,1776173677.332707,1776173652.2899408,1776173677.2899408,completed
exp_001,77,split,layer4.1,resnet18_tail_after_layer4_1,130.0,25.0,1776173687.3590071,1776173687.4730153,1776173690.5849342,1776173691.067668,1776173718.7448137,1776173693.6910017,1776173718.6910017,completed
exp_001,78,split,layer4.1,resnet18_tail_after_layer4_1,140.0,25.0,1776173728.844435,1776173728.9522552,1776173732.1596823,1776173732.1059444,1776173760.2996767,1776173735.2308426,1776173760.2308426,completed
exp_001,79,split,layer4.1,resnet18_tail_after_layer4_1,150.0,25.0,1776173770.332171,1776173770.4381878,1776173773.550766,1776173774.1477375,1776173801.6074858,1776173776.5612624,1776173801.5612624,completed
exp_001,80,split,layer4.1,resnet18_tail_after_layer4_1,160.0,25.0,1776173811.6432202,1776173811.7946146,1776173814.969448,1776173815.1896625,1776173843.1079347,1776173818.0332348,1776173843.0332348,completed
exp_001,81,full_local,,,0.0,25.0,1776173853.1829996,1776173853.7168684,,,1776173883.7843869,1776173858.7843869,1776173883.7843869,completed
