experiment_id,scenario_id,mode,partition_point,load_model_name,load_rps_target,duration_s,mode_command_sent_ts,mode_confirmed_ts,load_command_sent_ts,load_confirmed_ts,load_stop_ts,analysis_start_ts,analysis_end_ts,status
exp_13_16_49,29,split,layer2.1,resnet18_tail_after_layer2_1,150.0,25.0,1776092641.983858,1776092642.0402403,1776092645.0849767,1776092645.6528733,1776092673.2755833,1776092648.172421,1776092673.172421,completed
exp_13_16_49,30,split,layer2.1,resnet18_tail_after_layer2_1,155.0,25.0,1776092673.276437,1776092673.3050847,1776092676.4100473,1776092676.6808927,1776092704.6247911,1776092679.4621341,1776092704.4621341,completed
exp_13_16_49,31,split,layer3.0,resnet18_tail_after_layer3_0,0.0,25.0,1776092704.6255229,1776092705.8702292,,,1776092736.2498393,1776092711.2498393,1776092736.2498393,completed
exp_13_16_49,32,split,layer3.0,resnet18_tail_after_layer3_0,100.0,25.0,1776092736.3866353,1776092736.4692786,1776092739.5731523,1776092739.7418509,1776092767.8010306,1776092742.6933882,1776092767.6933882,completed
exp_13_16_49,33,split,layer3.0,resnet18_tail_after_layer3_0,120.0,25.0,1776092767.8021095,1776092767.8437455,1776092770.895821,1776092771.772859,1776092799.110267,1776092774.0148997,1776092799.0148997,completed
exp_13_16_49,34,split,layer3.0,resnet18_tail_after_layer3_0,150.0,25.0,1776092799.111143,1776092799.1477745,1776092802.1874564,1776092802.803414,1776092830.3163183,1776092805.2544897,1776092830.2544897,completed
exp_13_16_49,35,split,layer3.0,resnet18_tail_after_layer3_0,155.0,25.0,1776092830.3171678,1776092830.3217797,1776092833.471493,1776092833.8346229,1776092861.6925175,1776092836.569177,1776092861.569177,completed
exp_13_16_49,36,split,layer3.1,resnet18_tail_after_layer3_1,0.0,25.0,1776092861.6934004,1776092862.991283,,,1776092893.1139307,1776092868.1139307,1776092893.1139307,completed
exp_13_16_49,37,split,layer3.1,resnet18_tail_after_layer3_1,100.0,25.0,1776092893.2232642,1776092893.3153431,1776092896.4811795,1776092896.8968282,1776092924.7477312,1776092899.6208434,1776092924.6208434,completed
exp_13_16_49,38,split,layer3.1,resnet18_tail_after_layer3_1,120.0,25.0,1776092924.7485888,1776092924.86149,1776092927.9772475,1776092927.9276676,1776092956.1196496,1776092931.0521822,1776092956.0521822,completed
exp_13_16_49,39,split,layer3.1,resnet18_tail_after_layer3_1,150.0,25.0,1776092956.1206179,1776092956.1485772,1776092959.313921,1776092959.9586341,1776092987.4927585,1776092962.3438954,1776092987.3438954,completed
exp_13_16_49,40,split,layer3.1,resnet18_tail_after_layer3_1,155.0,25.0,1776092987.4936914,1776092987.6397414,1776092990.7352521,1776092990.9887636,1776093019.8704836,1776092993.8154783,1776093018.8154783,completed
exp_13_16_49,41,split,layer4.0,resnet18_tail_after_layer4_0,0.0,25.0,1776093019.8715901,1776093021.2379863,,,1776093051.482018,1776093026.482018,1776093051.482018,completed
exp_13_16_49,42,split,layer4.0,resnet18_tail_after_layer4_0,100.0,25.0,1776093051.5798306,1776093051.7556045,1776093054.9047043,1776093055.0518627,1776093083.129811,1776093058.023345,1776093083.023345,completed
exp_13_16_49,43,split,layer4.0,resnet18_tail_after_layer4_0,120.0,25.0,1776093083.1307757,1776093083.234355,1776093086.4085665,1776093087.0839233,1776093114.5705554,1776093089.4957821,1776093114.4957821,completed
exp_13_16_49,44,split,layer4.0,resnet18_tail_after_layer4_0,150.0,25.0,1776093114.5715137,1776093114.6310403,1776093117.8785357,1776093118.1146374,1776093145.9892151,1776093120.9338355,1776093145.9338355,completed
exp_13_16_49,45,split,layer4.0,resnet18_tail_after_layer4_0,155.0,25.0,1776093145.9901395,1776093145.9479682,1776093149.177728,1776093149.1447537,1776093177.3239186,1776093152.2695527,1776093177.2695527,completed
exp_13_16_49,46,split,layer4.1,resnet18_tail_after_layer4_1,0.0,25.0,1776093177.3249402,1776093178.667955,,,1776093208.855552,1776093183.855552,1776093208.855552,completed
exp_13_16_49,47,split,layer4.1,resnet18_tail_after_layer4_1,100.0,25.0,1776093208.8665984,1776093208.9958649,1776093212.1241512,1776093212.2079678,1776093240.208873,1776093215.1460798,1776093240.1460798,completed
exp_13_16_49,48,split,layer4.1,resnet18_tail_after_layer4_1,120.0,25.0,1776093240.2100093,1776093240.3470483,1776093243.5059433,1776093244.2397213,1776093271.6180384,1776093246.5599673,1776093271.5599673,completed
exp_13_16_49,49,split,layer4.1,resnet18_tail_after_layer4_1,150.0,25.0,1776093271.6192782,1776093271.6797683,1776093274.8151479,1776093275.2706208,1776093302.9559968,1776093277.890017,1776093302.890017,completed
exp_13_16_49,50,split,layer4.1,resnet18_tail_after_layer4_1,155.0,25.0,1776093302.9570608,1776093303.0731683,1776093306.1906385,1776093306.3007364,1776093334.371194,1776093309.2279024,1776093334.2279024,completed
exp_13_16_49,51,full_local,,,0.0,25.0,1776093334.3722692,1776093334.7283595,,,1776093364.932972,1776093339.932972,1776093364.932972,completed
